BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];1998;16.5;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];1999;15.9;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2000;16.9;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2001;17.6;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2002;16.8;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2003;17.8;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2004;17.8;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2005;19.0;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2006;20.8;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2007;21.7;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2008;22.9;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2009;22.8;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2010;24.3;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2011;23.9;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2012;24.2;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2013;24.3;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2014;25.5;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2015;26.0;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2016;26.5;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2017;28.7;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2009;41.9;Jahre;Jahre;
